"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 28 02:55:57 UTC 2023","Sat Oct 28 02:55:59 UTC 2023","2247","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Oct 28 02:16:37 UTC 2023","Sat Oct 28 02:17:04 UTC 2023","27250","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Oct 28 02:35:28 UTC 2023","Sat Oct 28 02:36:03 UTC 2023","34919","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Oct 28 02:36:03 UTC 2023","Sat Oct 28 02:36:14 UTC 2023","10509","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"skipped","Sat Oct 28 04:57:22 UTC 2023","Sat Oct 28 04:57:22 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Oct 28 04:34:17 UTC 2023","Sat Oct 28 04:34:27 UTC 2023","9984","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Oct 28 02:42:28 UTC 2023","Sat Oct 28 02:42:33 UTC 2023","5318","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 28 03:16:57 UTC 2023","Sat Oct 28 03:16:57 UTC 2023","310","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Oct 28 04:06:17 UTC 2023","Sat Oct 28 04:06:34 UTC 2023","16705","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Oct 28 03:12:23 UTC 2023","Sat Oct 28 03:12:35 UTC 2023","12717","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Oct 28 03:19:31 UTC 2023","Sat Oct 28 03:19:34 UTC 2023","2490","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Oct 28 03:11:44 UTC 2023","Sat Oct 28 03:12:16 UTC 2023","31565","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Oct 28 02:31:13 UTC 2023","Sat Oct 28 02:31:13 UTC 2023","387","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Oct 28 02:46:19 UTC 2023","Sat Oct 28 02:46:24 UTC 2023","5106","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Oct 28 02:17:04 UTC 2023","Sat Oct 28 02:17:21 UTC 2023","17074","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sat Oct 28 04:09:01 UTC 2023","Sat Oct 28 04:09:18 UTC 2023","16928","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Oct 28 02:38:21 UTC 2023","Sat Oct 28 02:38:24 UTC 2023","2854","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Oct 28 02:43:02 UTC 2023","Sat Oct 28 02:43:10 UTC 2023","8305","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Oct 28 04:30:03 UTC 2023","Sat Oct 28 04:30:20 UTC 2023","17006","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Oct 28 02:22:25 UTC 2023","Sat Oct 28 02:23:27 UTC 2023","61971","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Oct 28 02:38:52 UTC 2023","Sat Oct 28 02:38:53 UTC 2023","853","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
